CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,238,EL AL ISRAEL AIRLINES,2024-07-11T15:35:00,2024-07-11T15:35:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,8809,EL AL ISRAEL AIRLINES,2024-07-11T15:35:00,2024-07-11T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
6H,515,ISRAIR AIRLINES,2024-07-11T15:40:00,2024-07-11T15:40:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,,,ON TIME,בזמן
AF,6174,AIR FRANCE,2024-07-11T15:45:00,2024-07-11T15:45:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,224,EL AL ISRAEL AIRLINES,2024-07-11T15:45:00,2024-07-11T15:45:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,351,EL AL ISRAEL AIRLINES,2024-07-11T15:45:00,2024-07-11T15:45:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
SN,3290,BRUSSELS AIRLINES,2024-07-11T15:50:00,2024-07-11T15:50:00,D,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,,,ON TIME,בזמן
W9,5302,WIZZ UK,2024-07-11T15:50:00,2024-07-11T15:50:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
IB,2393,IBERIA,2024-07-11T15:55:00,2024-07-11T15:55:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,2522,EL AL ISRAEL AIRLINES,2024-07-11T15:55:00,2024-07-11T15:55:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
LY,394,EL AL ISRAEL AIRLINES,2024-07-11T15:55:00,2024-07-11T15:55:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,5141,EL AL ISRAEL AIRLINES,2024-07-11T15:55:00,2024-07-11T15:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,,,ON TIME,בזמן
6H,762,ISRAIR AIRLINES,2024-07-11T15:55:00,2024-07-11T15:55:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
BZ,119,BLUE BIRD AIRWAYS,2024-07-11T16:00:00,2024-07-11T16:00:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
