CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
W6,2098,WIZZAIR,2024-07-09T19:30:00,2024-07-09T19:30:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,1,308-312,A,ON TIME,בזמן
W6,1966,WIZZAIR,2024-07-09T19:40:00,2024-07-09T19:40:00,D,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,1,308-312,A,ON TIME,בזמן
WZ,4311,RED WINGS AIRLINES,2024-07-09T19:45:00,2024-07-09T19:45:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
EK,2471,EMIRATES,2024-07-09T19:50:00,2024-07-09T19:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,39-42,B,ON TIME,בזמן
FZ,1126,FLYDUBAI,2024-07-09T19:50:00,2024-07-09T19:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,39-42,B,ON TIME,בזמן
LY,5113,EL AL ISRAEL AIRLINES,2024-07-09T19:50:00,2024-07-09T19:50:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,78-99,D,ON TIME,בזמן
U8,335,TUS AIRWAYS,2024-07-09T19:50:00,2024-07-09T19:50:00,A,DUS,DUSSELDORF,דיסלדורף,DUSSELDORF,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
5F,448,FLYONE,2024-07-09T19:50:00,2024-07-09T19:50:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,46-48,B,ON TIME,בזמן
LY,2367,EL AL ISRAEL AIRLINES,2024-07-09T20:00:00,2024-07-09T20:00:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
BZ,561,BLUE BIRD AIRWAYS,2024-07-09T19:40:00,2024-07-09T20:10:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,DELAYED,עיכוב
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-07-09T20:10:00,2024-07-09T20:10:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
HY,304,UZBEKISTAN AIR,2024-07-09T20:15:00,2024-07-09T20:15:00,D,SKD,SAMARKAND,סמארקנד,SAMARKAND,אוזבקיסטן,UZBEKISTAN,3,28-33,A,ON TIME,בזמן
AI,139,AIR INDIA,2024-07-09T20:25:00,2024-07-09T20:25:00,A,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-07-09T20:25:00,2024-07-09T20:25:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-07-09T20:25:00,2024-07-09T20:25:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,088,EL AL ISRAEL AIRLINES,2024-07-09T20:35:00,2024-07-09T20:35:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
LY,5138,EL AL ISRAEL AIRLINES,2024-07-09T20:35:00,2024-07-09T20:35:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
IZ,295,ARKIA  ISRAELI  AIRLINES,2024-07-09T20:40:00,2024-07-09T20:40:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,34-36,B,ON TIME,בזמן
AM,7862,AERO MEXICO,2024-07-09T20:55:00,2024-07-09T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,087,EL AL ISRAEL AIRLINES,2024-07-09T20:55:00,2024-07-09T20:55:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
LY,324,EL AL ISRAEL AIRLINES,2024-07-09T20:55:00,2024-07-09T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3160,SAS,2024-07-09T20:55:00,2024-07-09T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
WZ,4312,RED WINGS AIRLINES,2024-07-09T20:55:00,2024-07-09T20:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,53-55,B,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-07-09T21:00:00,2024-07-09T21:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,301-306,A,ON TIME,בזמן
LY,5133,EL AL ISRAEL AIRLINES,2024-07-09T21:00:00,2024-07-09T21:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,301-307,A,ON TIME,בזמן
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-07-09T21:10:00,2024-07-09T21:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,ON TIME,בזמן
IZ,098,ARKIA  ISRAELI  AIRLINES,2024-07-09T21:25:00,2024-07-09T21:25:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,545,EL AL ISRAEL AIRLINES,2024-07-09T21:40:00,2024-07-09T21:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
LY,5129,EL AL ISRAEL AIRLINES,2024-07-09T21:45:00,2024-07-09T21:45:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,1,301-307,A,ON TIME,בזמן
DL,7453,DELTA AIRLINES,2024-07-09T22:00:00,2024-07-09T22:00:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-07-09T22:00:00,2024-07-09T22:00:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
SK,3176,SAS,2024-07-09T22:00:00,2024-07-09T22:00:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
VS,7494,VIRGIN ATLANTIC AIRWAYS,2024-07-09T22:00:00,2024-07-09T22:00:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
6H,562,ISRAIR AIRLINES,2024-07-09T22:00:00,2024-07-09T22:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
AI,140,AIR INDIA,2024-07-09T22:10:00,2024-07-09T22:10:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,21-27,A,ON TIME,בזמן
BZ,441,BLUE BIRD AIRWAYS,2024-07-09T22:10:00,2024-07-09T22:10:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
6H,574,ISRAIR AIRLINES,2024-07-09T22:15:00,2024-07-09T22:15:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,NOT FINAL,לא סופי
H7,457,HISKY,2024-07-09T22:30:00,2024-07-09T22:30:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
EK,2450,EMIRATES,2024-07-09T22:35:00,2024-07-09T22:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1625,FLYDUBAI,2024-07-09T22:35:00,2024-07-09T22:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
ET,414,ETHIOPIAN AIRLINES,2024-07-09T22:40:00,2024-07-09T22:40:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,081,EL AL ISRAEL AIRLINES,2024-07-09T22:45:00,2024-07-09T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-07-09T22:45:00,2024-07-09T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-07-09T22:45:00,2024-07-09T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-07-09T22:45:00,2024-07-09T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
AF,7074,AIR FRANCE,2024-07-09T22:55:00,2024-07-09T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,328,EL AL ISRAEL AIRLINES,2024-07-09T22:55:00,2024-07-09T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3162,SAS,2024-07-09T22:55:00,2024-07-09T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
BZ,701,BLUE BIRD AIRWAYS,2024-07-09T23:10:00,2024-07-09T23:10:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LH,690,LUFTHANSA,2024-07-09T23:10:00,2024-07-09T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7169,BRUSSELS AIRLINES,2024-07-09T23:10:00,2024-07-09T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
UA,9122,UNITED AIRLINES,2024-07-09T23:10:00,2024-07-09T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
RO,155,TAROM - ROMANIAN AIR TRANSPORT,2024-07-09T23:20:00,2024-07-09T23:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
J2,331,AZERBAIJAN AIRLINES,2024-07-09T23:25:00,2024-07-09T23:25:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,NOT FINAL,לא סופי
UA,091,UNITED AIRLINES,2024-07-09T23:25:00,2024-07-09T23:25:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,12-20,A,ON TIME,בזמן
EK,2345,EMIRATES,2024-07-09T23:30:00,2024-07-09T23:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1807,FLYDUBAI,2024-07-09T23:30:00,2024-07-09T23:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
H7,458,HISKY,2024-07-09T23:30:00,2024-07-09T23:30:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,28-30,A,ON TIME,בזמן
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-07-09T23:40:00,2024-07-09T23:40:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
IZ,282,ARKIA  ISRAELI  AIRLINES,2024-07-09T23:45:00,2024-07-09T23:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
LY,544,EL AL ISRAEL AIRLINES,2024-07-09T23:45:00,2024-07-09T23:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
BZ,151,BLUE BIRD AIRWAYS,2024-07-09T23:55:00,2024-07-09T23:55:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,,,CANCELED,מבוטלת
EK,2451,EMIRATES,2024-07-09T23:55:00,2024-07-09T23:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,38-41,B,ON TIME,בזמן
FZ,1626,FLYDUBAI,2024-07-09T23:55:00,2024-07-09T23:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,38-41,B,ON TIME,בזמן
U8,109,TUS AIRWAYS,2024-07-09T23:55:00,2024-07-09T23:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,42-45,B,ON TIME,בזמן
BZ,751,BLUE BIRD AIRWAYS,2024-07-10T00:00:00,2024-07-10T00:00:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
B6,6453,JETBLUE AIRWAYS CORPORATION,2024-07-10T00:05:00,2024-07-10T00:05:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7426,DELTA AIRLINES,2024-07-10T00:05:00,2024-07-10T00:05:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,003,EL AL ISRAEL AIRLINES,2024-07-10T00:05:00,2024-07-10T00:05:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AF,6171,AIR FRANCE,2024-07-10T00:15:00,2024-07-10T00:15:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-07-10T00:15:00,2024-07-10T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-07-10T00:15:00,2024-07-10T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-07-10T00:15:00,2024-07-10T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-07-10T00:15:00,2024-07-10T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,1322,EL AL ISRAEL AIRLINES,2024-07-10T00:15:00,2024-07-10T00:15:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-07-10T00:15:00,2024-07-10T00:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
6H,224,ISRAIR AIRLINES,2024-07-10T00:15:00,2024-07-10T00:15:00,A,OSL,OSLO,אוסלו,OSLO,נורבגיה,NORWAY,3,,,NOT FINAL,לא סופי
RO,156,TAROM - ROMANIAN AIR TRANSPORT,2024-07-10T00:20:00,2024-07-10T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,31-33,A,ON TIME,בזמן
J2,332,AZERBAIJAN AIRLINES,2024-07-10T00:25:00,2024-07-10T00:25:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,47-50,B,ON TIME,בזמן
LH,682,LUFTHANSA,2024-07-10T00:25:00,2024-07-10T00:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7165,BRUSSELS AIRLINES,2024-07-10T00:25:00,2024-07-10T00:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-07-10T00:30:00,2024-07-10T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-07-10T00:30:00,2024-07-10T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-07-10T00:30:00,2024-07-10T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
IZ,420,ARKIA  ISRAELI  AIRLINES,2024-07-10T00:35:00,2024-07-10T00:35:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,352,EL AL ISRAEL AIRLINES,2024-07-10T00:40:00,2024-07-10T00:40:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,356,EL AL ISRAEL AIRLINES,2024-07-10T00:40:00,2024-07-10T00:40:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3178,SAS,2024-07-10T00:40:00,2024-07-10T00:40:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-07-10T00:45:00,2024-07-10T00:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
EK,2346,EMIRATES,2024-07-10T00:50:00,2024-07-10T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,ON TIME,בזמן
ET,405,ETHIOPIAN AIRLINES,2024-07-10T00:50:00,2024-07-10T00:50:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
FZ,1808,FLYDUBAI,2024-07-10T00:50:00,2024-07-10T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-07-10T00:50:00,2024-07-10T00:50:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
LY,238,EL AL ISRAEL AIRLINES,2024-07-10T00:55:00,2024-07-10T00:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,572,EL AL ISRAEL AIRLINES,2024-07-10T00:55:00,2024-07-10T00:55:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-07-10T01:00:00,2024-07-10T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-07-10T01:00:00,2024-07-10T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-07-10T01:00:00,2024-07-10T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-07-10T01:00:00,2024-07-10T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-07-10T01:00:00,2024-07-10T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7441,DELTA AIRLINES,2024-07-10T01:00:00,2024-07-10T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-07-10T01:00:00,2024-07-10T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,025,EL AL ISRAEL AIRLINES,2024-07-10T01:00:00,2024-07-10T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-07-10T01:05:00,2024-07-10T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-07-10T01:05:00,2024-07-10T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-07-10T01:05:00,2024-07-10T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-07-10T01:05:00,2024-07-10T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7435,DELTA AIRLINES,2024-07-10T01:05:00,2024-07-10T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-07-10T01:05:00,2024-07-10T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,015,EL AL ISRAEL AIRLINES,2024-07-10T01:05:00,2024-07-10T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
NO,9070,NEOS,2024-07-10T01:50:00,2024-07-10T01:50:00,A,MLH,MULHOUSE,מולהאוז,MULHOUSE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
XR,274,CORENDON EUROPE,2024-07-10T01:55:00,2024-07-10T01:55:00,A,KUN,KAUNAS,קובנה,KAUNAS,ליטא,LITHUANIA,3,,,NOT FINAL,לא סופי
A3,928,AEGEAN  AIRLINES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
EK,4977,EMIRATES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LY,372,EL AL ISRAEL AIRLINES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
6H,752,ISRAIR AIRLINES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3,,,NOT FINAL,לא סופי
6H,894,ISRAIR AIRLINES,2024-07-10T02:00:00,2024-07-10T02:00:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
6H,352,ISRAIR AIRLINES,2024-07-10T02:05:00,2024-07-10T02:05:00,A,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-07-10T02:10:00,2024-07-10T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,210,EL AL ISRAEL AIRLINES,2024-07-10T02:10:00,2024-07-10T02:10:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,384,EL AL ISRAEL AIRLINES,2024-07-10T02:10:00,2024-07-10T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,5164,EL AL ISRAEL AIRLINES,2024-07-10T02:10:00,2024-07-10T02:10:00,A,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
SK,3166,SAS,2024-07-10T02:10:00,2024-07-10T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3198,SAS,2024-07-10T02:10:00,2024-07-10T02:10:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
TP,8897,AIR PORTUGAL,2024-07-10T02:10:00,2024-07-10T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
VS,7490,VIRGIN ATLANTIC AIRWAYS,2024-07-10T02:10:00,2024-07-10T02:10:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
FB,6083,BULGARIA  AIR,2024-07-10T02:20:00,2024-07-10T02:20:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
